Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
05/11/2026 13:14:14,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,1274280
05/11/2026 13:14:14,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,2971320
05/11/2026 13:14:14,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,297672
05/11/2026 13:14:14,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,9478288
05/11/2026 13:14:14,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,7582736
05/11/2026 13:14:14,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,10
05/11/2026 13:14:14,System.Runtime,dotnet.timer.count ({timer}),Metric,6
05/11/2026 13:14:14,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,983664
05/11/2026 13:14:14,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,2496720
05/11/2026 13:14:14,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,2016
05/11/2026 13:14:14,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,9478008
05/11/2026 13:14:14,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,7656
05/11/2026 13:14:14,System.Runtime,dotnet.process.memory.working_set (By),Metric,268648448
05/11/2026 13:14:14,System.Runtime,dotnet.assembly.count ({assembly}),Metric,119
05/11/2026 13:14:14,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,128581632
05/11/2026 13:14:15,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.07240899999999328
05/11/2026 13:14:15,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.16830100000004222
05/11/2026 13:14:15,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,1274280
05/11/2026 13:14:15,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,2971320
05/11/2026 13:14:15,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,297672
05/11/2026 13:14:15,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,9478288
05/11/2026 13:14:15,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,7582736
05/11/2026 13:14:15,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,10
05/11/2026 13:14:15,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,2131
05/11/2026 13:14:15,System.Runtime,dotnet.timer.count ({timer}),Metric,7
05/11/2026 13:14:15,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,2095
05/11/2026 13:14:15,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,983664
05/11/2026 13:14:15,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,2496720
05/11/2026 13:14:15,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,2016
05/11/2026 13:14:15,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,9478008
05/11/2026 13:14:15,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,7656
05/11/2026 13:14:15,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,1579672
05/11/2026 13:14:15,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
05/11/2026 13:14:15,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
05/11/2026 13:14:15,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
05/11/2026 13:14:15,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
05/11/2026 13:14:15,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,14
05/11/2026 13:14:15,System.Runtime,dotnet.process.memory.working_set (By),Metric,268697600
05/11/2026 13:14:15,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
05/11/2026 13:14:15,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
05/11/2026 13:14:15,System.Runtime,dotnet.assembly.count ({assembly}),Metric,119
05/11/2026 13:14:15,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,53
05/11/2026 13:14:15,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.005751300000000015
