Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
05/11/2026 14:36:26,System.Runtime,dotnet.process.memory.working_set (By),Metric,160333824
05/11/2026 14:36:26,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,10
05/11/2026 14:36:26,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,277016
05/11/2026 14:36:26,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,4296
05/11/2026 14:36:26,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,255440
05/11/2026 14:36:26,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,5409896
05/11/2026 14:36:26,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,511424
05/11/2026 14:36:26,System.Runtime,dotnet.assembly.count ({assembly}),Metric,118
05/11/2026 14:36:26,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,26050560
05/11/2026 14:36:26,System.Runtime,dotnet.timer.count ({timer}),Metric,7
05/11/2026 14:36:26,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,1307688
05/11/2026 14:36:26,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,420440
05/11/2026 14:36:26,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,832824
05/11/2026 14:36:26,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,5798624
05/11/2026 14:36:26,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,6862904
05/11/2026 14:36:27,System.Runtime,dotnet.process.memory.working_set (By),Metric,160448512
05/11/2026 14:36:27,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.00740659999999993
05/11/2026 14:36:27,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,10
05/11/2026 14:36:27,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,2058
05/11/2026 14:36:27,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
05/11/2026 14:36:27,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,277016
05/11/2026 14:36:27,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,4296
05/11/2026 14:36:27,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,255440
05/11/2026 14:36:27,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,5409896
05/11/2026 14:36:27,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,511424
05/11/2026 14:36:27,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,1
05/11/2026 14:36:27,System.Runtime,dotnet.assembly.count ({assembly}),Metric,118
05/11/2026 14:36:27,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,2187
05/11/2026 14:36:27,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,26050560
05/11/2026 14:36:27,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
05/11/2026 14:36:27,System.Runtime,dotnet.timer.count ({timer}),Metric,7
05/11/2026 14:36:27,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,1359136
05/11/2026 14:36:27,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,1307688
05/11/2026 14:36:27,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,420440
05/11/2026 14:36:27,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,832824
05/11/2026 14:36:27,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,5798624
