Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
05/11/2026 21:21:18,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,10
05/11/2026 21:21:18,System.Runtime,dotnet.assembly.count ({assembly}),Metric,115
05/11/2026 21:21:18,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
05/11/2026 21:21:18,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,93504
05/11/2026 21:21:18,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,64
05/11/2026 21:21:18,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
05/11/2026 21:21:18,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
05/11/2026 21:21:18,System.Runtime,dotnet.timer.count ({timer}),Metric,6
05/11/2026 21:21:18,System.Runtime,dotnet.process.memory.working_set (By),Metric,147308544
05/11/2026 21:21:18,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,11632640
05/11/2026 21:21:18,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,24
05/11/2026 21:21:18,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,6165096
05/11/2026 21:21:18,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,196768
05/11/2026 21:21:18,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,62384
05/11/2026 21:21:18,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,24
05/11/2026 21:21:19,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,45
05/11/2026 21:21:19,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
05/11/2026 21:21:19,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,10
05/11/2026 21:21:19,System.Runtime,dotnet.assembly.count ({assembly}),Metric,115
05/11/2026 21:21:19,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
05/11/2026 21:21:19,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,93504
05/11/2026 21:21:19,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,64
05/11/2026 21:21:19,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
05/11/2026 21:21:19,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
05/11/2026 21:21:19,System.Runtime,dotnet.timer.count ({timer}),Metric,6
05/11/2026 21:21:19,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.04345599999999994
05/11/2026 21:21:19,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.003918999999999978
05/11/2026 21:21:19,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,80
05/11/2026 21:21:19,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
05/11/2026 21:21:19,System.Runtime,dotnet.process.memory.working_set (By),Metric,147570688
05/11/2026 21:21:19,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
05/11/2026 21:21:19,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.033398099999999986
05/11/2026 21:21:19,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
