Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
05/11/2026 21:34:56,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,10
05/11/2026 21:34:56,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,512
05/11/2026 21:34:56,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,6024
05/11/2026 21:34:56,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
05/11/2026 21:34:56,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,590848
05/11/2026 21:34:56,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,48
05/11/2026 21:34:56,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,16875520
05/11/2026 21:34:56,System.Runtime,dotnet.timer.count ({timer}),Metric,5
05/11/2026 21:34:56,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,1667504
05/11/2026 21:34:56,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,490232
05/11/2026 21:34:56,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,91224
05/11/2026 21:34:56,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,591960
05/11/2026 21:34:56,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,5789792
05/11/2026 21:34:56,System.Runtime,dotnet.assembly.count ({assembly}),Metric,118
05/11/2026 21:34:56,System.Runtime,dotnet.process.memory.working_set (By),Metric,300089344
05/11/2026 21:34:57,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,10
05/11/2026 21:34:57,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
05/11/2026 21:34:57,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
05/11/2026 21:34:57,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
05/11/2026 21:34:57,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.05658399999999997
05/11/2026 21:34:57,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.16845700000000008
05/11/2026 21:34:57,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
05/11/2026 21:34:57,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,63
05/11/2026 21:34:57,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
05/11/2026 21:34:57,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,512
05/11/2026 21:34:57,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,6024
05/11/2026 21:34:57,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
05/11/2026 21:34:57,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,590848
05/11/2026 21:34:57,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,48
05/11/2026 21:34:57,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,473448
05/11/2026 21:34:57,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,16875520
05/11/2026 21:34:57,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,426
05/11/2026 21:34:57,System.Runtime,dotnet.timer.count ({timer}),Metric,5
05/11/2026 21:34:57,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.03844570000000003
05/11/2026 21:34:57,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,1
05/11/2026 21:34:57,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,1667504
05/11/2026 21:34:57,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,490232
05/11/2026 21:34:57,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,91224
05/11/2026 21:34:57,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,591960
05/11/2026 21:34:57,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,5789792
05/11/2026 21:34:57,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
05/11/2026 21:34:57,System.Runtime,dotnet.assembly.count ({assembly}),Metric,118
05/11/2026 21:34:57,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,7297
05/11/2026 21:34:57,System.Runtime,dotnet.process.memory.working_set (By),Metric,300318720
05/11/2026 21:34:58,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,10
05/11/2026 21:34:58,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
05/11/2026 21:34:58,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
05/11/2026 21:34:58,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
05/11/2026 21:34:58,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.05469299999999988
05/11/2026 21:34:58,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.15670899999999932
05/11/2026 21:34:58,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
05/11/2026 21:34:58,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,46
05/11/2026 21:34:58,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
05/11/2026 21:34:58,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,512
05/11/2026 21:34:58,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,6024
05/11/2026 21:34:58,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
05/11/2026 21:34:58,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,590848
05/11/2026 21:34:58,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,48
05/11/2026 21:34:58,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,465808
05/11/2026 21:34:58,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,16875520
05/11/2026 21:34:58,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,429
05/11/2026 21:34:58,System.Runtime,dotnet.timer.count ({timer}),Metric,5
05/11/2026 21:34:58,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.02783990000000003
05/11/2026 21:34:58,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,0
05/11/2026 21:34:58,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,1667504
05/11/2026 21:34:58,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,490232
05/11/2026 21:34:58,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,91224
05/11/2026 21:34:58,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,591960
05/11/2026 21:34:58,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,5789792
05/11/2026 21:34:58,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
05/11/2026 21:34:58,System.Runtime,dotnet.assembly.count ({assembly}),Metric,118
05/11/2026 21:34:58,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,6720
05/11/2026 21:34:58,System.Runtime,dotnet.process.memory.working_set (By),Metric,300417024
05/11/2026 21:34:59,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,10
05/11/2026 21:34:59,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
05/11/2026 21:34:59,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
05/11/2026 21:34:59,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
05/11/2026 21:34:59,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.05473400000000028
05/11/2026 21:34:59,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.15101800000000054
